,Town,Number,lat,long
0,"Abbotsford, ",10.0,49.0504377,-122.3044697
1,"Airdrie, ",1.0,51.2917005,-114.0143635
2,"Ajax, ",3.0,43.8508553,-79.0203732
3,"Aldergrove, ",1.0,49.0580516,-122.4706669
4,"Amherstburg, ",1.0,42.1013779,-83.1086977
5,"Ardrossan, ",2.0,53.551606,-113.142839
6,"Aurora, ",2.0,44.00648,-79.450396
7,"Aylmer, ",2.0,42.7729381,-80.9828842
8,"Barrie, ",3.0,44.38935559999999,-79.6903316
9,"Bath, ",1.0,44.1840483,-76.771219
10,"Beausejour, ",2.0,50.0617283,-96.5158517
11,"Bedford, ",1.0,44.7246629,-63.6908522
12,"Belleville, ",4.0,44.1627589,-77.3832315
13,"Binbrook, ",3.0,43.1208326,-79.80449569999999
14,"Blackfalds , ",1.0,52.3807817,-113.7945508
15,"Bloomfield, ",1.0,43.9855359,-77.2310282
16,"Bowmanville, ",1.0,43.9126042,-78.688019
17,"Brampton , ",1.0,43.7315479,-79.7624177
18,"Brampton, ",5.0,43.7315479,-79.7624177
19,"Brantford, ",3.0,43.1393867,-80.2644254
20,"Brighton, ",1.0,44.0422599,-77.73688279999999
21,"Brookfield, ",1.0,43.6471629,-79.37870889999999
22,"Brooklin, ",1.0,43.9631607,-78.9571069
23,"Burlington, ",8.0,43.3255196,-79.7990319
24,"Burnaby, ",19.0,49.2488091,-122.9805104
25,"Caledon, ",1.0,43.8363372,-79.87448359999999
26,"Caledonia, ",1.0,43.0647528,-79.95507479999999
27,"Calgary , ",3.0,51.0486151,-114.0708459
28,"Calgary, ",36.0,51.0486151,-114.0708459
29,"Cambridge, ",2.0,43.3616211,-80.3144276
30,"Camlachie, ",1.0,43.0357119,-82.16231499999999
31,"Campbell River, ",1.0,50.03312260000001,-125.2733353
32,"Canoe, ",1.0,48.7593075,-91.6220659
33,"Carlisle, ",2.0,43.1287391,-81.48350599999999
34,"Chatham, ",1.0,42.4048028,-82.19103779999999
35,"Chelsea, ",1.0,45.5401738,-75.867482
36,"Chester Basin, ",1.0,44.564539,-64.308435
37,"Chestermere, ",1.0,51.0498087,-113.8233018
38,"Cobourg, ",2.0,43.9593373,-78.1677363
39,"Cochrane, ",1.0,51.1909883,-114.4678603
40,"Conception Bay South, ",2.0,47.5083178,-52.9940605
41,"coquitlam , ",1.0,49.2837626,-122.7932065
42,"Coquitlam, ",12.0,49.2837626,-122.7932065
43,"Courtenay, ",1.0,49.6841391,-124.9904494
44,"Courtice, ",2.0,43.9109352,-78.7884468
45,"Creemore, ",1.0,44.3272376,-80.1061859
46,"Dartmouth, ",16.0,44.7000282,-63.5579269
47,"Delta, ",3.0,49.09521549999999,-123.0264758
48,"Denfield, ",1.0,43.126956,-81.43178999999999
49,"Devon, ",1.0,35.4669418,-97.5177018
50,"Didsbury, ",1.0,51.6608359,-114.136516
51,"Dieppe, ",1.0,46.0952765,-64.7486638
52,"Duncan , ",1.0,48.7786908,-123.7079417
53,"Duncan, ",3.0,48.7786908,-123.7079417
54,"Dundas, ",3.0,43.26650890000001,-79.9568685
55,"Eastern Passage, ",1.0,44.6164433,-63.4748813
56,"Edmonton , ",2.0,53.544389,-113.4909267
57,"Edmonton, ",61.0,53.544389,-113.4909267
58,"Elora, ",1.0,43.683715,-80.43054269999999
59,"Enfield, ",2.0,44.9435255,-63.53616539999999
60,"Etobicoke, ",6.0,43.6204946,-79.5131983
61,"Fergus, ",1.0,43.7059522,-80.3778336
62,"Flamborough, ",2.0,43.3334074,-80.08433280000001
63,"Fort Langley, ",1.0,49.16837,-122.579975
64,"Foxboro, ",1.0,44.249509,-77.43616899999999
65,"Fredericton , ",1.0,45.9635895,-66.6431151
66,"Fredericton, ",4.0,45.9635895,-66.6431151
67,"Gaetz Brook , ",1.0,44.764503,-63.2147531
68,"Garden Bay, ",1.0,49.63406,-124.028113
69,"Gatineau, ",2.0,45.4765446,-75.7012723
70,"Georgetown, ",2.0,43.6502046,-79.9036236
71,"Gibbons, ",2.0,53.825792,-113.3266113
72,"Gibsons, ",1.0,49.3974171,-123.5152222
73,"Grand Bay-Westfield , ",1.0,45.3614925,-66.2416978
74,"Grand Desert, ",1.0,44.6872149,-63.2584814
75,"Grand Valley, ",1.0,43.9377374,-80.38813329999999
76,"Granton, ",1.0,43.217971,-81.301368
77,"Grosse Isle, ",1.0,47.0284602,-70.6713719
78,"Guelph, ",4.0,43.5448048,-80.24816659999999
79,"Halifax, ",13.0,44.64876350000001,-63.5752387
80,"Hamilton, ",9.0,43.2557206,-79.8711024
81,"Hammonds Plains, ",1.0,44.733671,-63.7850131
82,"Hamner, ",1.0,46.652064,-80.9463083
83,"Haneytown, ",1.0,45.7959554,-66.4755476
84,"Harrow, ",1.0,42.0355591,-82.918148
85,"Hubbards, ",1.0,44.6427229,-64.0517799
86,"Ile Des Chenes, ",1.0,49.7091812,-96.9877147
87,"Ingramport, ",1.0,44.658901,-63.9696449
88,"Kakabeka Falls, ",1.0,48.4026834,-89.6256961
89,"Kaleden, ",1.0,49.397805,-119.6051351
90,"Kamloops, ",1.0,50.674522,-120.3272675
91,"Kanata, ",2.0,45.3088185,-75.89868349999999
92,"Kelowna , ",1.0,49.8879519,-119.4960106
93,"kelowna, ",5.0,49.8879519,-119.4960106
94,"Keswick, ",1.0,44.2266889,-79.453512
95,"Kingston, ",2.0,44.2311717,-76.4859544
96,"Kitchener, ",5.0,43.4516395,-80.4925337
97,"Knutsford, ",1.0,50.6334657,-120.3141559
98,"Ladner, ",1.0,49.0900961,-123.0819988
99,"Lake Echo, ",1.0,44.7383424,-63.3803042
100,"Langley, ",11.0,49.1041779,-122.6603519
101,"LaSalle (Windsor), ",1.0,42.2355411,-83.1024769
102,"Laval, ",2.0,45.6066487,-73.712409
103,"Lawrencetown, ",4.0,44.8835656,-65.1647122
104,"Leamington, ",1.0,42.0531634,-82.5998874
105,"Leduc, ",1.0,53.2580126,-113.5502218
106,"London, ",7.0,42.9849233,-81.2452768
107,"Lorette, ",1.0,49.7396213,-96.87432749999999
108,"Lower Sackville, ",2.0,44.7764086,-63.6791223
109,"Manotick, ",1.0,45.2274934,-75.72293119999999
110,"Maple Ridge, ",2.0,49.2193226,-122.5983981
111,"Maple, ",1.0,43.8517618,-79.52728359999999
112,"Markham, ",1.0,43.8561002,-79.3370188
113,"Middle Sackville, ",1.0,44.808074,-63.72678939999999
114,"Millet, ",1.0,53.09208169999999,-113.4702831
115,"MILLGROVE, ",1.0,43.336296,-79.9581259
116,"Milton, ",6.0,43.5182991,-79.8774042
117,"Mission, ",4.0,49.1329272,-122.3261603
118,"Mississauga, ",9.0,43.5890452,-79.6441198
119,"Moncton, ",3.0,46.0878165,-64.7782313
120,"Montreal, ",6.0,45.5016889,-73.567256
121,"Montréal, ",1.0,45.5016889,-73.567256
122,"Mt. Pearl, ",1.0,47.52064070000001,-52.8076818
123,"Nanaimo, ",4.0,49.1658836,-123.9400648
124,"Nepean, ",1.0,45.33490459999999,-75.7241006
125,"New Westminster, ",10.0,49.2057179,-122.910956
126,"Newcastle, ",1.0,43.9177731,-78.5874846
127,"Newmarket, ",3.0,44.05918700000001,-79.46125599999999
128,"NewWestminster, ",1.0,49.2057179,-122.910956
129,"Niagara Falls, ",2.0,43.0895577,-79.0849436
130,"Norman Wells, ",1.0,65.28149379999999,-126.8286524
131,"North Bay, ",1.0,46.3091152,-79.4608204
132,"North Delta , ",1.0,49.171634,-122.910981
133,"North Vancouver, ",7.0,49.3199816,-123.0724139
134,"North York, ",2.0,43.7615377,-79.41107939999999
135,"Oakville, ",6.0,43.467517,-79.6876659
136,"Orleans, ",1.0,45.4558019,-75.5047333
137,"Oshawa, ",5.0,43.8970929,-78.86579119999999
138,"Osoyoos, ",1.0,49.032304,-119.468163
139,"Ottawa, ",31.0,45.4215296,-75.69719309999999
140,"Pakenham, ",1.0,45.333032,-76.29043399999999
141,"Paradise, ",1.0,47.5306597,-52.8873992
142,"Paris, ",1.0,43.1940203,-80.3844996
143,"Parkland County , ",1.0,53.4175643,-114.566607
144,"Parkland County, ",1.0,53.4175643,-114.566607
145,"Peterborough, ",1.0,44.309058,-78.31974699999999
146,"Petrolia, ",1.0,42.8818379,-82.1444338
147,"Pickering, ",3.0,43.83841169999999,-79.0867579
148,"Pincourt, ",1.0,45.366389,-73.98462119999999
149,"Pitt Meadows, ",3.0,49.2190648,-122.6895165
150,"Port Coquitlam , ",1.0,49.2628382,-122.7810708
151,"Port Coquitlam, ",5.0,49.2628382,-122.7810708
152,"Port Moody, ",2.0,49.2849107,-122.8677562
153,"Port Williams, ",1.0,45.0979976,-64.4100234
154,"Portage la Prairie, ",1.0,49.9723205,-98.29032509999999
155,"Powell River, ",1.0,49.8352352,-124.5247061
