REF_DATE,GEO,DGUID,Disability type,Age group,Sex,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012,Canada,2016A000011124,Seeing,"Total,15 years and over",Both sexes,Number,223,units ,0,v87225124,1.1.1.1,756320,,,,0
2012,Canada,2016A000011124,Seeing,"Total,15 years and over",Males,Number,223,units ,0,v87225125,1.1.1.2,326510,,,,0
2012,Canada,2016A000011124,Seeing,"Total,15 years and over",Females,Number,223,units ,0,v87225126,1.1.1.3,429810,,,,0
2012,Canada,2016A000011124,Seeing,15 to 64 years,Both sexes,Number,223,units ,0,v87225127,1.1.2.1,472220,,,,0
2012,Canada,2016A000011124,Seeing,15 to 64 years,Males,Number,223,units ,0,v87225128,1.1.2.2,214090,,,,0
2012,Canada,2016A000011124,Seeing,15 to 64 years,Females,Number,223,units ,0,v87225129,1.1.2.3,258130,,,,0
2012,Canada,2016A000011124,Seeing,15 to 24 years,Both sexes,Number,223,units ,0,v87225130,1.1.3.1,26450,,,,0
2012,Canada,2016A000011124,Seeing,15 to 24 years,Males,Number,223,units ,0,v87225131,1.1.3.2,12640,,,,0
2012,Canada,2016A000011124,Seeing,15 to 24 years,Females,Number,223,units ,0,v87225132,1.1.3.3,13800,,,,0
2012,Canada,2016A000011124,Seeing,25 to 44 years,Both sexes,Number,223,units ,0,v87225133,1.1.4.1,75260,,,,0
2012,Canada,2016A000011124,Seeing,25 to 44 years,Males,Number,223,units ,0,v87225134,1.1.4.2,26160,,,,0
2012,Canada,2016A000011124,Seeing,25 to 44 years,Females,Number,223,units ,0,v87225135,1.1.4.3,49100,,,,0
2012,Canada,2016A000011124,Seeing,45 to 64 years,Both sexes,Number,223,units ,0,v87225136,1.1.5.1,370510,,,,0
2012,Canada,2016A000011124,Seeing,45 to 64 years,Males,Number,223,units ,0,v87225137,1.1.5.2,175280,,,,0
2012,Canada,2016A000011124,Seeing,45 to 64 years,Females,Number,223,units ,0,v87225138,1.1.5.3,195230,,,,0
2012,Canada,2016A000011124,Seeing,65 years and over,Both sexes,Number,223,units ,0,v87225139,1.1.6.1,284100,,,,0
2012,Canada,2016A000011124,Seeing,65 years and over,Males,Number,223,units ,0,v87225140,1.1.6.2,112420,,,,0
2012,Canada,2016A000011124,Seeing,65 years and over,Females,Number,223,units ,0,v87225141,1.1.6.3,171680,,,,0
2012,Canada,2016A000011124,Seeing,65 to 74 years,Both sexes,Number,223,units ,0,v87225142,1.1.7.1,109820,,,,0
2012,Canada,2016A000011124,Seeing,65 to 74 years,Males,Number,223,units ,0,v87225143,1.1.7.2,43410,,,,0
2012,Canada,2016A000011124,Seeing,65 to 74 years,Females,Number,223,units ,0,v87225144,1.1.7.3,66400,,,,0
2012,Canada,2016A000011124,Seeing,75 years and over,Both sexes,Number,223,units ,0,v87225145,1.1.8.1,174290,,,,0
2012,Canada,2016A000011124,Seeing,75 years and over,Males,Number,223,units ,0,v87225146,1.1.8.2,69010,,,,0
2012,Canada,2016A000011124,Seeing,75 years and over,Females,Number,223,units ,0,v87225147,1.1.8.3,105280,,,,0
2012,Canada,2016A000011124,Hearing,"Total,15 years and over",Both sexes,Number,223,units ,0,v87225148,1.2.1.1,874590,,,,0
