Town,#
"Abbotsford, ",10
"Airdrie, ",1
"Ajax, ",3
"Aldergrove, ",1
"Amherstburg, ",1
"Ardrossan, ",2
"Aurora, ",2
"Aylmer, ",2
"Barrie, ",3
"Bath, ",1
"Beausejour, ",2
"Bedford, ",1
"Belleville, ",4
"Binbrook, ",3
"Blackfalds , ",1
"Bloomfield, ",1
"Bowmanville, ",1
"Brampton , ",1
"Brampton, ",5
"Brantford, ",3
"Brighton, ",1
"British Columbia, ",
"Brookfield, ",1
"Brooklin, ",1
"Burlington, ",8
"Burnaby, ",19
"Caledon, ",1
"Caledonia, ",1
"Calgary , ",3
"Calgary, ",36
"Cambridge, ",2
"Camlachie, ",1
"Campbell River, ",1
"Canoe, ",1
"Carlisle, ",2
"Chatham, ",1
"Chelsea, ",1
"Chester Basin, ",1
"Chestermere, ",1
"Cobourg, ",2
"Cochrane, ",1
"Conception Bay South, ",2
"coquitlam , ",1
"Coquitlam, ",12
"Courtenay, ",1
"Courtice, ",2
"Creemore, ",1
"Dartmouth, ",16
"Delta, ",3
"Denfield, ",1
"Devon, ",1
"Didsbury, ",1
"Dieppe, ",1
"Duncan , ",1
"Duncan, ",3
"Dundas, ",3
"Eastern Passage, ",1
"Edmonton , ",2
"Edmonton, ",61
"Elora, ",1
"Enfield, ",2
"Etobicoke, ",6
"Fergus, ",1
"Flamborough, ",2
"Fort Langley, ",1
"Foxboro, ",1
"Fredericton , ",1
"Fredericton, ",4
"Gaetz Brook , ",1
"Garden Bay, ",1
"Gatineau, ",2
"Georgetown, ",2
"Gibbons, ",2
"Gibsons, ",1
"Grand Bay-Westfield , ",1
"Grand Desert, ",1
"Grand Valley, ",1
"Granton, ",1
"Grosse Isle, ",1
"Guelph, ",4
"Halifax, ",13
"Hamilton, ",9
"Hammonds Plains, ",1
"Hamner, ",1
"Haneytown, ",1
"Harrow, ",1
"Hubbards, ",1
"Ile Des Chenes, ",1
"Ingramport, ",1
"Kakabeka Falls, ",1
"Kaleden, ",1
"Kamloops, ",1
"Kanata, ",2
"Kelowna , ",1
"kelowna, ",5
"Keswick, ",1
"Kingston, ",2
"Kitchener, ",5
"Knutsford, ",1
"Ladner, ",1
"Lake Echo, ",1
"Langley, ",11
"LaSalle (Windsor), ",1
"Laval, ",2
"Lawrencetown, ",4
"Leamington, ",1
"Leduc, ",1
"London, ",7
"Lorette, ",1
"Lower Sackville, ",2
"Manotick, ",1
"Maple Ridge, ",2
"Maple, ",1
"Markham, ",1
"Middle Sackville, ",1
"Millet, ",1
"MILLGROVE, ",1
"Milton, ",6
"Mission, ",4
"Mississauga, ",9
"Moncton, ",3
"Montreal, ",6
"Montréal, ",1
"Mt. Pearl, ",1
"Nanaimo, ",4
"Nepean, ",1
"New Westminster, ",10
"Newcastle, ",1
"Newfoundland and Labrador, ",
"Newmarket, ",3
"NewWestminster, ",1
"Niagara Falls, ",2
"Norman Wells, ",1
"North Bay, ",1
"North Delta , ",1
"North Vancouver, ",7
"North York, ",2
"Northwest Territories, ",
"Nova Scotia, ",
"Oakville, ",6
"Ontario, ",
"Orleans, ",1
"Oshawa, ",5
"Osoyoos, ",1
"Ottawa, ",31
"Pakenham, ",1
"Paradise, ",1
"Paris, ",1
"Parkland County , ",1
"Parkland County, ",1
"Peterborough, ",1
"Petrolia, ",1
"Pickering, ",3
"Pincourt, ",1
"Pitt Meadows, ",3
"Port Coquitlam , ",1
"Port Coquitlam, ",5
"Port Moody, ",2
"Port Williams, ",1
"Portage la Prairie, ",1
"Powell River, ",1
"Prescott, ",1
"Prince Albert, ",1
"PrinceAlbert, ",1
"Québec, ",
"Quesnel, ",1
"Quispamsis, ",1
"Regina, ",2
"Renfrew, ",1
"Richmond Hill, ",1
"Richmond, ",5
"Rimbey, ",1
"Rockwood, ",1
"Rothesay, ",1
"Russell, ",1
"Sackville, ",1
"Saint John, ",4
"Salt Spring Island, ",1
"Saskatchewan, ",
"Saskatoon, ",3
"Sault St. Marie, ",1
"Sault Ste.Marie, ",1
"Savona, ",1
"Scarborough, ",3
"Scotland, ",1
"Severn, ",1
"Sherwood Park, ",2
"Sidney, ",2
"Smithers, ",1
"Smiths Falls, ",1
"Sooke, ",2
"Spruce Grove, ",2
"St. Albert, ",3
"St. Catharines, ",3
"St. Francois Xavier, ",1
"St. John's, ",1
"St. Philip's, ",1
"St.Catharines, ",1
"Stayner , ",1
"Steinbach, ",1
"St-Hubert, ",1
"Stirling, ",1
"Stonewall , ",1
"Stony Plain, ",1
"Stouffville, ",1
"Strathmore, ",1
"Sturgeon County, ",1
"Sturgeon Falls, ",1
"Sudbury, ",1
"Summerland,, ",1
"Surrey , ",1
"Surrey BC , ",1
"Surrey, ",22
"Sydney, ",2
"Sylvan Lake, ",1
"Thorndale, ",1
"Thornhill, ",2
"Thorold, ",1
"Thunder Bay, ",2
"Tillsonburg, ",1
"Timberlea, ",3
"Tofield, ",1
"Torbay, ",1
"Toronto, ",78
"Tottenham, ",1
"Uxbridge, ",1
"Vancouver , ",3
"Vancouver, ",43
"Vernon, ",1
"Victoria , ",2
"Victoria, ",16
"Waterloo, ",2
"West Kelowna, ",3
"Whitby, ",3
"White Rock, ",4
"Whitehorse, ",1
"Windsor, ",8
"Winnipeg MB, ",1
"Winnipeg, ",62
"Woodstock, ",3
"York, ",2
"Yukon, ",
