"REF_DATE","GEO","DGUID","Modifications list","Modifications, requirements and availability","Age group","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Job redesign","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862434","1.1.1.1.1","173030","","","","0"
"2012","Canada","2016A000011124","Job redesign","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862435","1.1.1.1.2","14.7","","","","1"
"2012","Canada","2016A000011124","Job redesign","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862436","1.1.1.1.3","12.9","","","","1"
"2012","Canada","2016A000011124","Job redesign","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862437","1.1.1.1.4","16.8","","","","1"
"2012","Canada","2016A000011124","Job redesign","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862438","1.1.2.1.1","75150","","","","0"
"2012","Canada","2016A000011124","Job redesign","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862439","1.1.2.1.2","43.4","","","","1"
"2012","Canada","2016A000011124","Job redesign","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862440","1.1.2.1.3","36.4","","","","1"
"2012","Canada","2016A000011124","Job redesign","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862441","1.1.2.1.4","50.8","","","","1"
"2012","Canada","2016A000011124","Telework","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862442","1.2.1.1.1","48370","","","","0"
"2012","Canada","2016A000011124","Telework","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862443","1.2.1.1.2","4.1","","","","1"
"2012","Canada","2016A000011124","Telework","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862444","1.2.1.1.3","3.3","","","","1"
"2012","Canada","2016A000011124","Telework","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862445","1.2.1.1.4","5.1","","","","1"
"2012","Canada","2016A000011124","Telework","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862446","1.2.2.1.1","24470","","","","0"
"2012","Canada","2016A000011124","Telework","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862447","1.2.2.1.2","50.6","","","","1"
"2012","Canada","2016A000011124","Telework","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862448","1.2.2.1.3","40.5","","","","1"
"2012","Canada","2016A000011124","Telework","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862449","1.2.2.1.4","60.7","","","","1"
"2012","Canada","2016A000011124","Reduced work hours","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862450","1.3.1.1.1","278960","","","","0"
"2012","Canada","2016A000011124","Reduced work hours","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862451","1.3.1.1.2","23.7","","","","1"
"2012","Canada","2016A000011124","Reduced work hours","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862452","1.3.1.1.3","21.4","","","","1"
"2012","Canada","2016A000011124","Reduced work hours","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862453","1.3.1.1.4","26.1","","","","1"
"2012","Canada","2016A000011124","Reduced work hours","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862454","1.3.2.1.1","80870","","","","0"
"2012","Canada","2016A000011124","Reduced work hours","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862455","1.3.2.1.2","29.0","","","","1"
"2012","Canada","2016A000011124","Reduced work hours","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862456","1.3.2.1.3","24.1","","","","1"
"2012","Canada","2016A000011124","Reduced work hours","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862457","1.3.2.1.4","34.4","","","","1"
"2012","Canada","2016A000011124","Human support","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862458","1.4.1.1.1","47400","E","","","0"
"2012","Canada","2016A000011124","Human support","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862459","1.4.1.1.2","4.0","E","","","1"
"2012","Canada","2016A000011124","Human support","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862460","1.4.1.1.3","2.9","","","","1"
"2012","Canada","2016A000011124","Human support","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862461","1.4.1.1.4","5.6","","","","1"
"2012","Canada","2016A000011124","Human support","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862462","1.4.2.1.1","26200","E","","","0"
"2012","Canada","2016A000011124","Human support","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862463","1.4.2.1.2","55.3","","","","1"
"2012","Canada","2016A000011124","Human support","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862464","1.4.2.1.3","39.9","","","","1"
"2012","Canada","2016A000011124","Human support","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862465","1.4.2.1.4","69.8","","","","1"
"2012","Canada","2016A000011124","Technical aids","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862466","1.5.1.1.1","16530","E","","","0"
"2012","Canada","2016A000011124","Technical aids","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862467","1.5.1.1.2","1.4","E","","","1"
"2012","Canada","2016A000011124","Technical aids","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862468","1.5.1.1.3","1.0","","","","1"
"2012","Canada","2016A000011124","Technical aids","Required to work","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862469","1.5.1.1.4","2.0","","","","1"
"2012","Canada","2016A000011124","Technical aids","Have not been made available","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862470","1.5.2.1.1","9250","E","","","0"
"2012","Canada","2016A000011124","Technical aids","Have not been made available","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862471","1.5.2.1.2","56.0","","","","1"
"2012","Canada","2016A000011124","Technical aids","Have not been made available","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862472","1.5.2.1.3","38.3","","","","1"
"2012","Canada","2016A000011124","Technical aids","Have not been made available","Total 15 to 64 years","High 95% confidence interval","Percent","239","units ","0","v91862473","1.5.2.1.4","72.2","","","","1"
"2012","Canada","2016A000011124","Computer and/or laptop with specialized software and/or adaptations","Required to work","Total 15 to 64 years","Number of persons","Number","223","units ","0","v91862474","1.6.1.1.1","36610","E","","","0"
"2012","Canada","2016A000011124","Computer and/or laptop with specialized software and/or adaptations","Required to work","Total 15 to 64 years","Percentage","Percent","239","units ","0","v91862475","1.6.1.1.2","3.1","E","","","1"
"2012","Canada","2016A000011124","Computer and/or laptop with specialized software and/or adaptations","Required to work","Total 15 to 64 years","Low 95% confidence interval","Percent","239","units ","0","v91862476","1.6.1.1.3","2.1","","","","1"
